,Unnamed: 0,Unvan,Link,Tarix,Qiymet,rooms,floor,area
1376,1376,Şah İsmayıl Xətai m.,https://bina.az//items/3631100,dünən 18:51,650 000AZN,3 otaq,12/12,240 m²
1377,1377,Bakıxanov q.,https://bina.az//items/3548306,dünən 18:53,196 000AZN,2 otaq,1/4,70 m²
1378,1378,Nəsimi r.,https://bina.az//items/3631099,dünən 18:51,130 000AZN,5 otaq,13/15,48 m²
1379,1379,Nərimanov r.,https://bina.az//items/3631096,dünən 18:50,280 000AZN,2 otaq,14/17,170 m²
1380,1380,Sahil m.,https://bina.az//items/3496455,dünən 18:49,340 000AZN,2 otaq,11/13,66 m²
1381,1381,İnşaatçılar m.,https://bina.az//items/3631093,dünən 18:48,149 900AZN,3 otaq,4/17,50 m²
1382,1382,Bayıl q.,https://bina.az//items/3630645,dünən 18:48,144 000AZN,2 otaq,11/17,65 m²
1383,1383,Xırdalan,https://bina.az//items/3612976,dünən 18:47,110 000AZN,3 otaq,12/16,85 m²
1384,1384,Nəriman Nərimanov m.,https://bina.az//items/3628440,dünən 18:47,182 000AZN,3 otaq,6/9,85 m²
1385,1385,Elmlər Akademiyası m.,https://bina.az//items/3620070,dünən 18:47,420 000AZN,2 otaq,12/17,140 m²
1386,1386,Elmlər Akademiyası m.,https://bina.az//items/3509500,dünən 18:47,328 000AZN,3 otaq,9/12,161 m²
1387,1387,Yasamal q.,https://bina.az//items/3623585,dünən 18:47,125 000AZN,3 otaq,4/10,65 m²
1388,1388,Nizami r.,https://bina.az//items/3564209,dünən 18:46,290 000AZN,3 otaq,5/16,8 m²
1389,1389,Şah İsmayıl Xətai m.,https://bina.az//items/3618336,dünən 18:46,230 000AZN,3 otaq,4/18,115 m²
1390,1390,Kürdəxanı q.,https://bina.az//items/3631091,bugün 13:22,35 000AZN,2 otaq,13/16,40 m²
1391,1391,Nərimanov r.,https://bina.az//items/3613896,dünən 18:45,320 000AZN,3 otaq,4/10,166 m²
1392,1392,Nərimanov r.,https://bina.az//items/3515866,dünən 18:45,199 000AZN,2 otaq,9/9,80 m²
1393,1393,Bakıxanov q.,https://bina.az//items/3536120,dünən 18:48,115 000AZN,3 otaq,16/20,55 m²
1394,1394,Elmlər Akademiyası m.,https://bina.az//items/3437781,dünən 18:45,320 000AZN,3 otaq,19/20,150 m²
1395,1395,Həzi Aslanov q.,https://bina.az//items/3621226,dünən 18:45,128 000AZN,2 otaq,12/19,55 m²
